dist;freq1;freq2;dist_moy;mot_FR;mot_EN;bon ?;pourcentage
0,359870976;15;17;0,022491936; fut ; s ;0;0,364485981
0,438632399;22;17;0,022493969; peut ; s ;0;0,362790698
0,529665173;27;20;0,022538944; personne ; answered ;0;0,361111111
0,453034978;19;21;0,022651749; seul ; life ;0;0,359447005
0,160075925;6;8;0,022867989; aurais ; millions ;0;0,357798165
0,332370084;13;16;0,022922075; longtemps ; long ;1;0,360730594
0,579646262;29;21;0,02318585; fois ; anything ;0;0,359090909
0,139440879;5;7;0,023240147; celle ; sometimes ;0;0,357466063
0,152933842;7;6;0,023528283; couleur ; color ;0;0,355855856
0,412010154;16;19;0,023543437; sera ; hundred ;0;0,35426009
0,319502451;14;13;0,023666848; chose ; thousand ;0;0,352678571
0,332281341;14;14;0,023734381; sais ; place ;0;0,351111111
0,156398384;6;7;0,02406129; compris ; toward ;0;0,349557522
0,409102216;18;16;0,024064836; faire ; long ;0;0,348017621
0,385298356;18;14;0,024081147; mes ; took ;0;0,346491228
0,373880432;15;16;0,024121318; toute ; consequence ;0;0,344978166
0,318366811;15;11;0,024489755; sérieux ; don ;0;0,343478261
0,171946179;6;8;0,02456374; venait ; hat ;0;0,341991342
0,307635627;12;13;0,02461085; vu ; need ;0;0,340517241
0,186176022;8;7;0,02482347; vrai ; idea ;0;0,339055794
0,275089726;11;11;0,025008157; quatre ; twenty ;0;0,337606838
0,212626888;10;7;0,025014928; où ; asteroid ;0;0,336170213
0,389104638;18;13;0,025103525; mille ; thousand ;0;0,334745763
0,416868668;17;16;0,025264768; étais ; night ;0;0,333333333
0,345793172;13;14;0,025614309; bonhomme ; boa ;0;0,331932773
0,283033928;11;11;0,025730357; signifie ; mean ;1;0,334728033
0,244997585;11;8;0,025789219; ajouta ; yet ;0;0,333333333
0,155084844;5;7;0,025847474; mur ; pulley ;0;0,331950207
0,129284547;5;5;0,025856909; ordre ; ordered ;1;0,334710744
0,220056124;8;9;0,025888956; après ; right ;0;0,333333333
0,363707116;16;12;0,02597908; veux ; matters ;0;0,331967213
0,418388459;19;13;0,026149279; fit ; beautiful ;0;0,330612245
0,528606326;22;18;0,026430316; non ; into ;0;0,329268293
0,172368991;7;6;0,026518306; dû ; astronomer ;0;0,327935223
0,146128088;6;5;0,026568743; répéta ; repeated ;1;0,330645161
0,173631148;6;7;0,026712484; veut ; possible ;0;0,329317269
0,361247266;15;12;0,026759057; ainsi ; seemed ;0;0,328
0,549246084;20;21;0,026792492; nous ; life ;0;0,326693227
0,174203661;7;6;0,026800563; oh ; golden ;0;0,325396825
0,442534229;18;15;0,026820256; nuit ; saw ;0;0,324110672
0,335276627;11;14;0,02682213; rire ; boa ;0;0,322834646
0,160953253;5;7;0,026825542; responsable ; pulley ;0;0,321568627
0,348963287;15;11;0,02684333; viens ; us ;0;0,3203125
0,216100799;7;9;0,0270126; enfin ; right ;0;0,319066148
0,297285372;11;11;0,027025943; crois ; way ;0;0,317829457
0,324740441;13;11;0,027061703; ses ; don ;0;0,316602317
0,135644153;5;5;0,027128831; compte ; minute ;0;0,315384615
0,190341896;7;7;0,027191699; quelle ; knew ;0;0,314176245
0,258686789;10;9;0,027230188; tous ; around ;0;0,312977099
0,190822009;8;6;0,027260287; nouveau ; secret ;0;0,311787072
0,396184802;17;12;0,02732309; fais ; after ;0;0,310606061
0,328707547;10;14;0,027392296; comprendre ; live ;0;0,309433962
0,428770325;15;16;0,027662602; serpent ; desert ;0;0,308270677
0,430259429;16;15;0,027758673; autre ; saw ;0;0,307116105
0,319567198;10;13;0,027788452; étoile ; star ;0;0,305970149
0,557643973;23;17;0,027882199; cent ; ah ;0;0,304832714
0,196680296;6;8;0,028097185; couchers ; millions ;0;0,303703704
0,169141348;5;7;0,028190225; dont ; knew ;0;0,302583026
0,155418893;5;6;0,028257981; belle ; along ;0;0,301470588
0,25475693;10;8;0,028306326; cependant ; walk ;0;0,3003663
0,214377943;8;7;0,028583726; drôle ; idea ;0;0,299270073
